ID;Description;CVSS Score;Severity;Detected at
23291;"Cross-Domain Misconfiguration
Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.
Evidence: Access-Control-Allow-Origin: *";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23292;"Cross-Domain Misconfiguration
Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.
Evidence: Access-Control-Allow-Origin: *";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23293;"Cross-Domain Misconfiguration
Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.
Evidence: Access-Control-Allow-Origin: *";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23294;"Content Security Policy (CSP) Header Not Set
Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.
Evidence: —";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23295;"Content Security Policy (CSP) Header Not Set
Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.
Evidence: —";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23296;"Cross-Domain Misconfiguration
Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.
Evidence: Access-Control-Allow-Origin: *";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23297;"Cross-Domain Misconfiguration
Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.
Evidence: Access-Control-Allow-Origin: *";5;medium;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23298;"Cross-Domain JavaScript Source File Inclusion
The page includes one or more script files from a third-party domain.
Evidence: <script src=""//cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js""></script>";2;low;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23299;"Cross-Domain JavaScript Source File Inclusion
The page includes one or more script files from a third-party domain.
Evidence: <script src=""//cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js""></script>";2;low;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
23300;"Cross-Domain JavaScript Source File Inclusion
The page includes one or more script files from a third-party domain.
Evidence: <script src=""//cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js""></script>";2;low;Mon Apr 06 2026 09:21:20 GMT+0300 (Moscow Standard Time)
